Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
1155,Marc-Oliver Kempf\815c314f,de GER,DF,Stuttgart,de Bundesliga,26-330,1995,9.3,3,13,6,46.2,1.39,0.64,0.23,0.50,12.7,0,0,0,1.0,1.0,0.08,+2.0,+2.0,Matchs
1156,Jonjoe Kenny\099e666f,eng ENG,DF,Everton,eng Premier League,24-284,1997,1.1,0,1,0,0.0,0.89,0.00,0.00,,24.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
1157,Franck Kessié\05e19d6a,ci CIV,MT,Milan,it Serie A,25-005,1996,13.2,5,15,4,26.7,1.13,0.30,0.20,0.75,20.5,0,2,3,3.6,1.2,0.08,+1.4,+1.8,Matchs
1158,Saîf-Eddine Khaoui\796b1c41,tn TUN,MT,Clermont Foot,fr Ligue 1,26-241,1995,3.4,0,5,0,0.0,1.45,0.00,0.00,,19.7,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matchs
1159,Wahbi Khazri\2677a1de,tn TUN,ATMT,Saint-Étienne,fr Ligue 1,30-319,1991,16.9,7,39,12,30.8,2.31,0.71,0.10,0.33,24.3,5,3,3,5.3,3.0,0.08,+1.7,+1.0,Matchs
1160,Rani Khedira\59e4b92e,de GER,MT,Union Berlin,de Bundesliga,27-331,1994,15.0,0,5,1,20.0,0.33,0.07,0.00,0.00,15.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matchs
1161,Kike\e897d8ba,es ESP,ATMT,Osasuna,es La Liga,32-029,1989,12.7,2,27,10,37.0,2.12,0.79,0.04,0.10,14.5,0,1,1,4.3,3.5,0.13,-2.3,-2.5,Matchs
1162,Luca Kilian\610aa1e9,de GER,AT,Mainz 05,de Bundesliga,22-114,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1163,Luca Kilian\610aa1e9,de GER,DF,Köln,de Bundesliga,22-114,1999,8.6,0,3,0,0.0,0.35,0.00,0.00,,8.1,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matchs
1164,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,eng Premier League,24-215,1997,18.0,1,9,3,33.3,0.50,0.17,0.11,0.33,7.8,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matchs
1165,Joshua Kimmich\49296448,de GER,MT,Bayern Munich,de Bundesliga,26-319,1995,10.8,3,12,5,41.7,1.11,0.46,0.25,0.60,17.4,0,0,0,1.7,1.7,0.14,+1.3,+1.3,Matchs
1166,Presnel Kimpembe\aef6e670,fr FRA,DF,Paris S-G,fr Ligue 1,26-133,1995,13.9,0,3,0,0.0,0.22,0.00,0.00,,7.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matchs
1167,Joshua King\43458538,no NOR,AT,Watford,eng Premier League,29-343,1992,12.1,5,27,11,40.7,2.24,0.91,0.15,0.36,13.7,0,1,1,5.8,5.0,0.19,-0.8,-1.0,Matchs
1168,Jakub Kiwior\dc3e663e,pl POL,MTDF,Spezia,it Serie A,21-312,2000,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1169,Sofian Kiyine\ce1806be,ma MAR,MTAT,Venezia,it Serie A,24-083,1997,9.0,0,12,3,25.0,1.34,0.33,0.00,0.00,25.7,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Matchs
1170,Simon Kjær\8b8a56ce,dk DEN,DF,Milan,it Serie A,32-273,1989,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,7.2,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matchs
1171,Philipp Klement\0cddeaa7,de GER,MTAT,Stuttgart,de Bundesliga,29-106,1992,3.8,1,6,2,33.3,1.60,0.53,0.17,0.50,21.7,2,0,0,0.3,0.3,0.05,+0.7,+0.7,Matchs
1172,Mateusz Klich\282679b4,pl POL,MT,Leeds United,eng Premier League,31-194,1990,9.5,1,19,9,47.4,2.00,0.95,0.05,0.11,20.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matchs
1173,Mateo Klimowicz\2b7c56b4,de GER,ATMT,Stuttgart,de Bundesliga,21-171,2000,6.4,0,11,3,27.3,1.73,0.47,0.00,0.00,18.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matchs
1174,Fabian Klos\e21042ae,de GER,AT,Arminia,de Bundesliga,34-022,1987,12.8,3,35,12,34.3,2.74,0.94,0.03,0.08,16.2,0,2,2,4.8,3.3,0.09,-1.8,-2.3,Matchs
1175,Lukas Klostermann\ca8033cb,de GER,DF,RB Leipzig,de Bundesliga,25-205,1996,8.7,0,3,1,33.3,0.35,0.12,0.00,0.00,16.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matchs
1176,Justin Kluivert\4c3a6744,nl NED,MT,Nice,fr Ligue 1,22-233,1999,7.2,2,10,3,30.0,1.38,0.41,0.20,0.67,19.7,1,0,0,1.1,1.1,0.11,+0.9,+0.9,Matchs
1177,Lukas Klünter\92948149,de GER,DF,Hertha BSC,de Bundesliga,25-212,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1178,Ansgar Knauff\19a967ab,de GER,ATMT,Dortmund,de Bundesliga,19-348,2002,1.3,0,1,0,0.0,0.79,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matchs
1179,Robin Knoche\6bd5cd5d,de GER,DF,Union Berlin,de Bundesliga,29-216,1992,17.0,0,4,0,0.0,0.24,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matchs
1180,Gregor Kobel\cd59b9df,ch SUI,GB,Dortmund,de Bundesliga,24-018,1997,15.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1181,Robin Koch\ea6bc03a,de GER,MTDF,Leeds United,eng Premier League,25-160,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1182,Philippe Koffi\9f1c2822,fr FRA,AT,Reims,fr Ligue 1,19-290,2002,2.5,1,7,2,28.6,2.80,0.80,0.14,0.50,15.1,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matchs
1183,Dominik Kohr\0fbecd11,de GER,MT,Mainz 05,de Bundesliga,27-327,1994,8.5,0,9,1,11.1,1.06,0.12,0.00,0.00,21.7,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matchs
1184,Koba Koindredi\3a58d075,fr FRA,MT,Valencia,es La Liga,20-058,2001,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1185,Koke\55126f3b,es ESP,MT,Atlético Madrid,es La Liga,29-350,1992,14.7,0,6,3,50.0,0.41,0.20,0.00,0.00,30.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matchs
1186,Aleksandr Kokorin\fec5accc,ru RUS,ATMT,Fiorentina,it Serie A,30-280,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1187,Aleksandar Kolarov\eda40760,rs SRB,DF,Inter,it Serie A,36-044,1985,0.5,0,1,0,0.0,2.14,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
1188,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,eng Premier League,28-187,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1189,Randal Kolo Muani\c0b3669f,fr FRA,AT,Nantes,fr Ligue 1,23-019,1998,16.7,7,25,14,56.0,1.50,0.84,0.28,0.50,11.0,0,0,0,4.8,4.8,0.19,+2.2,+2.2,Matchs
1190,Timothée Kolodziejczak\ab096c6f,fr FRA,DF,Saint-Étienne,fr Ligue 1,30-084,1991,15.1,1,9,3,33.3,0.60,0.20,0.11,0.33,9.4,0,0,0,1.5,1.5,0.17,-0.5,-0.5,Matchs
1191,Ghislain Konan\6b2c894b,ci CIV,DF,Reims,fr Ligue 1,25-362,1995,16.5,1,14,5,35.7,0.85,0.30,0.07,0.20,25.2,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matchs
1192,Ibrahima Konaté\5ed9b537,fr FRA,DF,Liverpool,eng Premier League,22-213,1999,6.0,0,1,0,0.0,0.17,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matchs
1193,Geoffrey Kondogbia\cce181df,cf CTA,MTDF,Atlético Madrid,es La Liga,28-312,1993,8.4,0,6,0,0.0,0.72,0.00,0.00,,23.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matchs
1194,Kouadio Koné\86574238,fr FRA,MT,M'Gladbach,de Bundesliga,20-221,2001,9.7,0,9,3,33.3,0.93,0.31,0.00,0.00,22.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matchs
1195,Youssouf Koné\e6eadfb8,ml MLI,DF,Troyes,fr Ligue 1,26-172,1995,6.0,0,4,1,25.0,0.66,0.17,0.00,0.00,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
1196,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,eng Premier League,24-062,1997,15.5,2,12,6,50.0,0.77,0.39,0.17,0.33,7.0,0,0,0,1.3,1.3,0.11,+0.7,+0.7,Matchs
1197,Teun Koopmeiners\a26fb8aa,nl NED,MT,Atalanta,it Serie A,23-299,1998,9.3,2,11,3,27.3,1.18,0.32,0.18,0.67,22.8,1,0,0,0.6,0.6,0.06,+1.4,+1.4,Matchs
1198,Laurent Koscielny\f5efb153,fr FRA,DF,Bordeaux,fr Ligue 1,36-105,1985,10.4,0,1,0,0.0,0.10,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matchs
1199,Odilon Kossonou\1f3afdcb,ci CIV,DF,Leverkusen,de Bundesliga,20-354,2001,11.1,0,2,1,50.0,0.18,0.09,0.00,0.00,13.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
1200,Filip Kostić\b1cd37e6,rs SRB,DFAT,Eint Frankfurt,de Bundesliga,29-053,1992,15.1,3,30,11,36.7,1.99,0.73,0.10,0.27,24.8,6,0,0,1.1,1.1,0.04,+1.9,+1.9,Matchs
1201,Rominigue Kouamé\86a2ba20,ml MLI,MT,Troyes,fr Ligue 1,25-007,1996,18.8,1,19,8,42.1,1.01,0.43,0.05,0.13,20.9,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matchs
1202,Nianzou Kouassi\5853ac44,fr FRA,DFMT,Bayern Munich,de Bundesliga,19-200,2002,1.8,0,1,0,0.0,0.57,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matchs
1203,Kalidou Koulibaly\da974c7b,sn SEN,DF,Napoli,it Serie A,30-187,1991,13.7,2,7,4,57.1,0.51,0.29,0.29,0.50,15.4,0,0,0,1.5,1.5,0.22,+0.5,+0.5,Matchs
1204,Jules Koundé\4d1666ff,fr FRA,DF,Sevilla,es La Liga,23-042,1998,15.7,0,6,1,16.7,0.38,0.06,0.00,0.00,13.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matchs
1205,Boubakar Kouyaté\562a4799,ml MLI,DF,Metz,fr Ligue 1,24-253,1997,14.6,1,9,3,33.3,0.62,0.21,0.11,0.33,14.8,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matchs
1206,Cheikhou Kouyaté\8d3c902d,sn SEN,MT,Crystal Palace,eng Premier League,32-003,1989,12.7,0,4,0,0.0,0.32,0.00,0.00,,20.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matchs
1207,Mateo Kovačić\79c0821a,hr CRO,MT,Chelsea,eng Premier League,27-232,1994,8.1,1,12,3,25.0,1.48,0.37,0.08,0.33,19.6,1,0,0,1.1,1.1,0.09,-0.1,-0.1,Matchs
1208,Viktor Kovalenko\9d60028d,ua UKR,MT,Spezia,it Serie A,25-313,1996,9.4,1,5,1,20.0,0.53,0.11,0.20,1.00,23.0,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matchs
1209,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,eng Premier League,27-144,1994,5.0,0,2,0,0.0,0.40,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matchs
1210,Andrej Kramarić\603cb947,hr CRO,ATMT,Hoffenheim,de Bundesliga,30-188,1991,14.2,2,47,15,31.9,3.30,1.05,0.04,0.13,15.7,5,0,0,5.1,5.1,0.11,-3.1,-3.1,Matchs
1211,Christoph Kramer\496aeede,de GER,MT,M'Gladbach,de Bundesliga,30-308,1991,4.3,0,3,1,33.3,0.69,0.23,0.00,0.00,14.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matchs
1212,Jean-Philippe Krasso\037f2523,fr FRA,AT,Saint-Étienne,fr Ligue 1,24-160,1997,4.7,1,11,2,18.2,2.32,0.42,0.09,0.50,10.1,0,0,0,1.6,1.6,0.14,-0.6,-0.6,Matchs
1213,Julian Kristoffersen\b804c280,no NOR,AT,Salernitana,it Serie A,24-228,1997,0.1,0,1,0,0.0,12.86,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matchs
1214,Toni Kroos\6ce1f46f,de GER,MT,Real Madrid,es La Liga,31-354,1990,11.3,1,28,9,32.1,2.48,0.80,0.04,0.11,22.8,2,0,0,1.4,1.4,0.05,-0.4,-0.4,Matchs
1215,Florian Krüger\f9f92b5f,de GER,ATMT,Arminia,de Bundesliga,22-314,1999,5.1,0,7,2,28.6,1.38,0.40,0.00,0.00,17.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matchs
1216,Tim Krul\f23f9d20,nl NED,GB,Norwich City,eng Premier League,33-265,1988,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1217,Rade Krunić\817c6964,ba BIH,MTAT,Milan,it Serie A,28-078,1993,8.9,0,7,1,14.3,0.79,0.11,0.00,0.00,13.5,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matchs
1218,Max Kruse\f9446dcd,de GER,ATMT,Union Berlin,de Bundesliga,33-280,1988,11.2,3,20,7,35.0,1.79,0.63,0.05,0.14,21.1,3,2,2,3.2,1.7,0.09,-0.2,-0.7,Matchs
1219,Lukas Kübler\2a29eb9b,de GER,DF,Freiburg,de Bundesliga,29-116,1992,13.7,1,8,4,50.0,0.58,0.29,0.13,0.25,12.8,0,0,0,1.0,1.0,0.13,0.0,0.0,Matchs
1220,Takefusa Kubo\16aa3654,jp JPN,MTAT,Mallorca,es La Liga,20-203,2001,6.3,1,14,4,28.6,2.23,0.64,0.07,0.25,20.2,1,0,0,1.0,1.0,0.07,0.0,0.0,Matchs
1221,Juraj Kucka\5aaef9ef,sk SVK,MT,Watford,eng Premier League,34-301,1987,11.1,1,24,7,29.2,2.16,0.63,0.04,0.14,21.7,2,0,0,1.3,1.3,0.05,-0.3,-0.3,Matchs
1222,Mykola Kukharevych\8197a269,ua UKR,AT,Troyes,fr Ligue 1,20-176,2001,0.2,0,1,0,0.0,6.00,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matchs
1223,Dejan Kulusevski\df3cda47,se SWE,ATMT,Juventus,it Serie A,21-243,2000,7.3,0,15,5,33.3,2.05,0.68,0.00,0.00,15.6,0,0,0,1.6,1.6,0.11,-1.6,-1.6,Matchs
1224,Marash Kumbulla\a40819d9,al ALB,DF,Roma,it Serie A,21-319,2000,3.4,0,2,1,50.0,0.59,0.30,0.00,0.00,5.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matchs
1225,Fabian Kunze\d25fee56,de GER,MT,Arminia,de Bundesliga,23-193,1998,7.5,0,5,0,0.0,0.66,0.00,0.00,,27.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matchs
1226,Enock Kwateng\4bf69118,fr FRA,DF,Bordeaux,fr Ligue 1,24-259,1997,15.0,0,5,2,40.0,0.33,0.13,0.00,0.00,12.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matchs
1227,Giorgos Kyriakopoulos\0a483542,gr GRE,DF,Sassuolo,it Serie A,25-322,1996,6.0,0,5,2,40.0,0.84,0.34,0.00,0.00,25.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matchs
1228,Andrea La Mantia\c375dfa5,it ITA,ATMT,Empoli,it Serie A,30-232,1991,1.1,1,7,1,14.3,6.49,0.93,0.14,1.00,10.9,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matchs
1229,Gaëtan Laborde\7cdda3bf,fr FRA,AT,Montpellier,fr Ligue 1,27-235,1994,3.8,3,13,5,38.5,3.43,1.32,0.23,0.60,15.7,0,0,0,1.8,1.8,0.14,+1.2,+1.2,Matchs
1230,Gaëtan Laborde\7cdda3bf,fr FRA,AT,Rennes,fr Ligue 1,27-235,1994,14.5,6,52,20,38.5,3.59,1.38,0.12,0.30,11.5,0,0,0,8.1,8.1,0.16,-2.1,-2.1,Matchs
1231,Alexandre Lacazette\9dbb75ca,fr FRA,ATMT,Arsenal,eng Premier League,30-210,1991,7.8,2,10,8,80.0,1.28,1.02,0.20,0.25,13.8,0,0,1,3.1,2.4,0.24,-1.1,-0.4,Matchs
1232,Tom Lacoux\295ba708,fr FRA,MT,Bordeaux,fr Ligue 1,19-333,2002,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1233,Maxence Lacroix\277c49ed,fr FRA,DF,Wolfsburg,de Bundesliga,21-262,2000,13.6,0,9,1,11.1,0.66,0.07,0.00,0.00,12.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matchs
1234,Alban Lafont\4e7db402,fr FRA,GB,Nantes,fr Ligue 1,22-335,1999,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1235,Víctor Laguardia\b7c99b9b,es ESP,DF,Alavés,es La Liga,32-049,1989,16.9,2,10,4,40.0,0.59,0.24,0.20,0.50,9.3,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matchs
1236,Konrad Laimer\c1b7847c,at AUT,MT,RB Leipzig,de Bundesliga,24-211,1997,4.9,1,6,3,50.0,1.23,0.62,0.17,0.33,15.8,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matchs
1237,Stefan Lainer\4aea5077,at AUT,DF,M'Gladbach,de Bundesliga,29-119,1992,2.9,0,2,0,0.0,0.68,0.00,0.00,,11.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matchs
1238,Diego Lainez\bf12926c,mx MEX,MTAT,Betis,es La Liga,21-198,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1239,Adam Lallana\99813635,eng ENG,MT,Brighton,eng Premier League,33-228,1988,11.9,0,11,2,18.2,0.92,0.17,0.00,0.00,17.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matchs
1240,Vassilis Lambropoulos\591477c9,gr GRE,DF,Bochum,de Bundesliga,31-268,1990,13.0,0,4,1,25.0,0.31,0.08,0.00,0.00,11.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
1241,Érik Lamela\abe66106,ar ARG,AT,Sevilla,es La Liga,29-295,1992,6.7,4,15,7,46.7,2.24,1.04,0.27,0.57,15.5,0,0,0,1.8,1.8,0.12,+2.2,+2.2,Matchs
1242,Sam Lammers\c283ddef,nl NED,AT,Eint Frankfurt,de Bundesliga,24-238,1997,4.0,1,12,4,33.3,3.01,1.00,0.08,0.25,12.5,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matchs
1243,Sam Lammers\c283ddef,nl NED,AT,Atalanta,it Serie A,24-238,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1244,Tariq Lamptey\f4e433d4,eng ENG,DFAT,Brighton,eng Premier League,21-085,2000,5.5,0,5,2,40.0,0.92,0.37,0.00,0.00,11.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matchs
1245,Manuel Lanzini\26f6dca8,ar ARG,MTAT,West Ham,eng Premier League,28-312,1993,4.1,2,4,1,25.0,0.98,0.24,0.25,1.00,27.8,1,1,1,0.9,0.2,0.04,+1.1,+0.8,Matchs
1246,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,eng Premier League,27-211,1994,13.1,1,21,3,14.3,1.60,0.23,0.05,0.33,9.9,0,0,0,2.5,2.5,0.12,-1.5,-1.5,Matchs
1247,Julien Laporte\f066022d,fr FRA,DF,Lorient,fr Ligue 1,28-050,1993,17.1,2,7,2,28.6,0.41,0.12,0.29,1.00,14.6,0,0,0,0.6,0.6,0.08,+1.4,+1.4,Matchs
1248,Yasser Larouci\0ed063d6,dz ALG,DF,Troyes,fr Ligue 1,20-357,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1249,Kevin Lasagna\09538fdb,it ITA,ATMT,Hellas Verona,it Serie A,29-136,1992,4.9,1,11,4,36.4,2.24,0.81,0.09,0.25,15.7,0,0,0,1.0,1.0,0.09,0.0,0.0,Matchs
1250,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,eng Premier League,28-043,1993,14.0,1,10,2,20.0,0.71,0.14,0.10,0.50,9.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matchs
1251,Bryan Lasme\ebac0ace,fr FRA,ATMT,Arminia,de Bundesliga,23-040,1998,5.7,1,7,3,42.9,1.24,0.53,0.14,0.33,17.7,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matchs
1252,Paul Lasne\542cc80f,fr FRA,MT,Brest,fr Ligue 1,32-342,1989,0.8,0,1,0,0.0,1.25,0.00,0.00,,25.5,1,0,0,0.1,0.1,0.09,-0.1,-0.1,Matchs
1253,Toni Lato\8e088e04,es ESP,DF,Valencia,es La Liga,24-033,1997,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1254,Armand Lauriente\2d22cea7,fr FRA,AT,Lorient,fr Ligue 1,23-020,1998,11.6,4,28,14,50.0,2.40,1.20,0.11,0.21,21.1,6,1,1,3.5,2.7,0.10,+0.5,+0.3,Matchs
1255,Darko Lazović\5128bde4,rs SRB,DF,Hellas Verona,it Serie A,31-100,1990,15.9,0,22,4,18.2,1.39,0.25,0.00,0.00,18.1,1,0,0,1.5,1.5,0.07,-1.5,-1.5,Matchs
1256,Manuel Lazzari\02caf6e0,it ITA,DF,Lazio,it Serie A,28-025,1993,7.9,1,6,3,50.0,0.76,0.38,0.17,0.33,21.2,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matchs
1257,Théo Le Bris\afe39ca8,fr FRA,MT,Lorient,fr Ligue 1,19-084,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1258,Jérémy Le Douaron\88c4d190,fr FRA,ATMT,Brest,fr Ligue 1,23-247,1998,10.0,5,27,11,40.7,2.69,1.10,0.19,0.45,13.1,0,0,0,3.6,3.6,0.14,+1.4,+1.4,Matchs
1259,Enzo Le Fée\6f806d99,fr FRA,MT,Lorient,fr Ligue 1,21-324,2000,12.4,0,13,5,38.5,1.05,0.40,0.00,0.00,24.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matchs
1260,Vincent Le Goff\2321ea6e,fr FRA,DF,Lorient,fr Ligue 1,32-070,1989,16.0,1,13,1,7.7,0.81,0.06,0.08,1.00,16.3,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matchs
1261,Maxime Le Marchand\321a71a7,fr FRA,DF,Strasbourg,fr Ligue 1,32-074,1989,7.2,1,3,2,66.7,0.42,0.28,0.33,0.50,12.0,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matchs
1262,Robin Le Normand\9a64e67e,fr FRA,DF,Real Sociedad,es La Liga,25-043,1996,18.0,0,6,1,16.7,0.33,0.06,0.00,0.00,10.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matchs
1263,Rafael Leão\20730eae,pt POR,AT,Milan,it Serie A,22-197,1999,12.1,4,42,14,33.3,3.47,1.16,0.10,0.29,19.0,0,0,0,4.1,4.1,0.10,-0.1,-0.1,Matchs
1264,Jean-Louis Leca\edbe46dc,fr FRA,GB,Lens,fr Ligue 1,36-094,1985,17.5,0,1,0,0.0,0.06,0.00,0.00,,8.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
1265,Jeremías Ledesma\6c4776b1,ar ARG,GB,Cádiz,es La Liga,28-314,1993,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1266,Pierre Lees-Melou\f5044e54,fr FRA,MT,Norwich City,eng Premier League,28-213,1993,9.6,0,14,4,28.6,1.45,0.42,0.00,0.00,22.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matchs
1267,Wu Lei\e3fabb0a,cn CHN,ATMT,Espanyol,es La Liga,30-035,1991,3.3,0,2,2,100.0,0.60,0.60,0.00,0.00,17.8,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matchs
1268,Maxim Leitsch\7e12a98d,de GER,DF,Bochum,de Bundesliga,23-220,1998,3.1,0,1,0,0.0,0.32,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
1269,Lucas Leiva\4c78b5ed,br BRA,MT,Lazio,it Serie A,34-349,1987,8.4,0,1,0,0.0,0.12,0.00,0.00,,20.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
1270,Florian Lejeune\6eaed4eb,fr FRA,DF,Alavés,es La Liga,30-218,1991,11.0,0,8,1,12.5,0.73,0.09,0.00,0.00,18.5,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matchs
1271,Iñigo Lekue\59b7d823,es ESP,DF,Athletic Club,es La Liga,28-234,1993,16.6,0,7,1,14.3,0.42,0.06,0.00,0.00,23.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matchs
1272,Thomas Lemar\4dbd0916,fr FRA,MT,Atlético Madrid,es La Liga,26-042,1995,8.6,3,16,6,37.5,1.86,0.70,0.19,0.50,17.8,0,0,0,2.0,2.0,0.13,+1.0,+1.0,Matchs
1273,Félix Lemaréchal\8ca9415f,ci CIV,MT,Monaco,fr Ligue 1,18-139,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
1274,Mario Lemina\2b471f99,ga GAB,MT,Nice,fr Ligue 1,28-114,1993,14.0,1,6,1,16.7,0.43,0.07,0.17,1.00,13.1,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matchs
1275,Fabien Lemoine\54d51e22,fr FRA,MT,Lorient,fr Ligue 1,34-283,1987,8.9,0,1,0,0.0,0.11,0.00,0.00,,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
1276,Tim Lemperle\792ffa71,de GER,ATMT,Köln,de Bundesliga,19-322,2002,0.8,1,1,1,100.0,1.30,1.30,1.00,1.00,7.0,0,0,0,0.4,0.4,0.42,+0.6,+0.6,Matchs
1277,Ruben Lendinez\755da865,es ESP,DF,Valencia,es La Liga,18-285,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
